타이레놀,진통에좋다,iv1
오셀타원,독감을 치료하는 약,iv2
펜클리어정,알코올X.위장장애,iv1




타이레놀이알서방정,위장장애.알코올X,iv7
뮤테란캅셀200,흡연.알코올X,iv8
종근당아목시실린캡슐500,위장장애,iv9
코푸시럽_(0.2g.3mg,흡연.알코올X,iv10

씨프로바이정250mg,위장장애 ,iv3
화록소정,위장장애,iv4
라니드정,간 질환,iv5
부스코판당의정,운전및기계조작 주의. 카페인X. 담배*알코올X,,iv6
